oci,timespan,citing,creation,author_sc,journal_sc,cited
0200101010136193701030605630207000237020000063700010800063733-020010000023616252837060802,P5Y,10.1111/j.1365-2702.2006.01806.x,2007-05,no,no,10.1002/gps.682
0200101010136193701030605630207000237020001013700030804093733-020010000023616252837060802,P9Y,10.1111/j.1365-2702.2011.03849.x,2011-09-21,no,no,10.1002/gps.682
0200101010136193701030605630207000237020001023700040100023733-020010000023616252837060802,P11Y,10.1111/j.1365-2702.2012.04102.x,2013-09-05,no,no,10.1002/gps.682
020010101020436000109030809020463020001020100050601630000000001-020010000023616252837060802,P10Y,10.11124/01938924-201210561-00001,2012,no,no,10.1002/gps.682
020010101020436000109030809020463020001030101000500630000000003-020010000023616252837060802,P11Y,10.11124/01938924-201311050-00003,2013-05,no,no,10.1002/gps.682
020010107073601000409070302030104050608030201-020010000023616252837060802,P13Y,10.1177/1049732314568321,2015-01-20,no,no,10.1002/gps.682
020010107073600020609020106030007000801010209-020010000023616252837060802,P5Y,10.1177/0269216307081129,2007-10,no,no,10.1002/gps.682
02001010806362801020901026300010563000006096307-020010000023616252837060802,P13Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1002/gps.682
0200400040536291813282820273701033700020002-020010000023616252837060802,P11Y,10.4045/tidsskr.13.0202,2013,no,no,10.1002/gps.682
020010107073601000504070703080105060001030902-020010000023616252837060802,P14Y,10.1177/1054773815601392,2016-07-25,no,no,10.1002/gps.682
0200101010136193701040701630607010237020000073700000500053733-020010000023616252837060802,P5Y,10.1111/j.1471-6712.2007.00505.x,2007-12,no,no,10.1002/gps.682
02001000002361625283703090000-020010000023616252837060802,P10Y,10.1002/gps.3900,2012-10-30,no,yes,10.1002/gps.682
0200101010136193701070408630307040337020000063700000001093733-020010000023616252837060802,P4Y,10.1111/j.1748-3743.2006.00019.x,2006-06,no,no,10.1002/gps.682
02001010505360200010136080705010906-020010000023616252837060802,P9Y,10.1155/2011/875196,2011,no,no,10.1002/gps.682
0200102090608362327141237020000023704370100370100070404-020010000023616252837060802,P0Y,10.12968/nrec.2002.4.10.10744,2002-10,no,no,10.1002/gps.682
0200101010136182322370102010302-020010000023616252837060802,P13Y,10.1111/inm.12132,2015-05-14,no,no,10.1002/gps.682
020010101013619241223370103010505-020010000023616252837060802,P14Y,10.1111/jocn.13155,2016-03-09,no,no,10.1002/gps.682
020010108063601070405630602010563010563030006-020010000023616252837060802,P12Y,10.1186/1745-6215-15-306,2014-07-30,no,no,10.1002/gps.682
0200101010136193701040708630501050337020001013700000405043733-020010000023616252837060802,P9Y,10.1111/j.1478-5153.2011.00454.x,2011-07-19,no,no,10.1002/gps.682
02001010806362801020807076300010863000703016305-020010000023616252837060802,P16Y,10.1186/s12877-018-0731-5,2018-02-06,no,no,10.1002/gps.682
0200101010136193701030605630207000237020000063700010800063733-0200100040636193701030605630208050037020000023700000409083733,P4Y11M,10.1111/j.1365-2702.2006.01806.x,2007-05,no,no,10.1046/j.1365-2850.2002.00498.x
0200101010136193701030605630207000237020001013700030804093733-0200100040636193701030605630208050037020000023700000409083733,P9Y3M,10.1111/j.1365-2702.2011.03849.x,2011-09-21,no,no,10.1046/j.1365-2850.2002.00498.x
0200101010136193701030605630207000237020001023700040103003733-0200100040636193701030605630208050037020000023700000409083733,P10Y1M,10.1111/j.1365-2702.2012.04130.x,2012-07-12,no,no,10.1046/j.1365-2850.2002.00498.x
020010107073600020609020106030007000801010209-0200100040636193701030605630208050037020000023700000409083733,P5Y4M,10.1177/0269216307081129,2007-10,no,no,10.1046/j.1365-2850.2002.00498.x
0200101010136193701040701630607010237020000073700000500053733-0200100040636193701030605630208050037020000023700000409083733,P5Y6M,10.1111/j.1471-6712.2007.00505.x,2007-12,no,no,10.1046/j.1365-2850.2002.00498.x
020010107073600080804050303060100030902050805-0200100040636193701030605630208050037020000023700000409083733,P8Y8M,10.1177/0884533610392585,2011-02,no,no,10.1046/j.1365-2850.2002.00498.x
02001000002361625283703090000-0200100040636193701030605630208050037020000023700000409083733,P10Y4M,10.1002/gps.3900,2012-10-30,no,no,10.1046/j.1365-2850.2002.00498.x
02001000107362801000401060100020100000001040506-0200100040636193701030605630208050037020000023700000409083733,P8Y2M,10.1017/s1041610210001456,2010-08-18,no,no,10.1046/j.1365-2850.2002.00498.x
0200101010136182322370102010302-0200100040636193701030605630208050037020000023700000409083733,P12Y11M,10.1111/inm.12132,2015-05-14,no,no,10.1046/j.1365-2850.2002.00498.x
020010101013619241223370103010505-0200100040636193701030605630208050037020000023700000409083733,P13Y9M,10.1111/jocn.13155,2016-03-09,no,no,10.1046/j.1365-2850.2002.00498.x
02001000007360907086303630301096305070307096303490207-0200100040636193701030605630208050037020000023700000409083733,P14Y,10.1007/978-3-319-57379-3_27,2017,no,no,10.1046/j.1365-2850.2002.00498.x
