oci,timespan,citing,creation,author_sc,journal_sc,cited
020010000023616252837060802-0200100000136191022103701090807370003040000010300010003000401,P14Y,10.1002/gps.682,2002,no,no,10.1001/jama.1987.03400130103041
020010000023616252837060802-020010000023601000909630101060658020000010001590106380140073838101813631625280206014203370037122439026332,P1Y,10.1002/gps.682,2002,no,yes,10.1002/1099-1166(200101)16:1<7::aid-gps261>3.0.co;2-w
020010000023616252837060802-020010000023616252837090300000800030005,P8Y,10.1002/gps.682,2002,no,yes,10.1002/gps.930080305
020010000023616252837060802-020010000073611150000000406050400,P10Y,10.1002/gps.682,2002,no,no,10.1007/bf00046540
020010000023616252837060802-0200100010636280000020063070408095800015900000002026300,P0Y,10.1002/gps.682,2002,no,no,10.1016/s0020-7489(01)00022-0
020010000023616252837060802-0200100010636280001090763040507025800075908010005046308,P8Y,10.1002/gps.682,2002,no,no,10.1016/s0197-4572(07)81054-8
020010000023616252837060802-0200100010636280009060463030309075809065908000909046303,P5Y,10.1002/gps.682,2002,no,no,10.1016/s0964-3397(96)80994-3
020010000023616252837060802-020010001073612112409070801030106050304090804,P21Y,10.1002/gps.682,2002,no,no,10.1017/cbo9781316534984
020010000023616252837060802-02001000107362801000401060100020901000000070503,P10Y,10.1002/gps.682,2002,no,no,10.1017/s1041610291000753
020010000023616252837060802-0200100040636193701030605630206040837010909043702000002000204053733,P7Y,10.1002/gps.682,2002,no,no,10.1046/j.1365-2648.1994.20020245.x
020010000023616252837060802-02001000406361937010306056302060408370109090737010909070002050904023733,P4Y,10.1002/gps.682,2002,no,no,10.1046/j.1365-2648.1997.1997025942.x
020010000023616252837060802-0200100080036000906050802010000030807060302,P1Y,10.1002/gps.682,2002,no,no,10.1080/096582100387632
020010000023616252837060802-0200101050936000000000107010802,P3Y,10.1002/gps.682,2002,no,no,10.1159/000017182
020010000023616252837060802-0200101070736000109030904050909060001080000020006,P5Y,10.1002/gps.682,2002,no,no,10.1177/019394599601800206
020010000023616252837060802-0200101070736010004090703020909010209010202000900,P2Y,10.1002/gps.682,2002,no,no,10.1177/104973299129122090
0200100040636193701030605630208050037020000023700000409083733-02001000002361937020004086307090400370109090337291100000709053733,P8Y6M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1002/j.2048-7940.1993.tb00795.x
0200100040636193701030605630208050037020000023700000409083733-0200100010636280001090763040507025800075908010005046308,P8Y9M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1016/s0197-4572(07)81054-8
0200100040636193701030605630208050037020000023700000409083733-02001000406361937010306056302060408370109090737010909070002050904023733,P5Y1M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1046/j.1365-2648.1997.1997025942.x
0200100040636193701030605630208050037020000023700000409083733-0200100040636193701030605630206040837010909083700000802023733,P3Y7M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1046/j.1365-2648.1998.00822.x
0200100040636193701030605630208050037020000023700000409083733-0200100040636193701040606630706093337020000003700000001043733,P1Y11M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1046/j.1466-769x.2000.00014.x
0200100040636193701030605630208050037020000023700000409083733-0200100090736000000000207020763010909060008000000630000000008,P5Y10M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1097/00002727-199608000-00008
0200100040636193701030605630208050037020000023700000409083733-0200100090736000000000604010663010909060101000000630000000102,P5Y7M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1097/00006416-199611000-00012
0200100040636193701030605630208050037020000023700000409083733-0200100090736000103070605010763010909070004000000630000000003,P5Y2M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1097/01376517-199704000-00003
0200100040636193701030605630208050037020000023700000409083733-02001010101361937010407016306070102370109080937291100000306063733,P13Y3M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1111/j.1471-6712.1989.tb00366.x
0200100040636193701030605630208050037020000023700000409083733-02001010101361937010407016306070102370109090937291100000504083733,P2Y6M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1111/j.1471-6712.1999.tb00548.x
0200100040636193701030605630208050037020000023700000409083733-02001010101361937010407016306070102370200000037291100000505043733,P2Y3M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1111/j.1471-6712.2000.tb00554.x
0200100040636193701030605630208050037020000023700000409083733-0200101060336010506090106020902330000000900,P10Y,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1163/156916292x00090
0200100040636193701030605630208050037020000023700000409083733-0200101060336010506090106020907330000010003,P5Y,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1163/156916297x00103
0200100040636193701030605630208050037020000023700000409083733-0200101070736000109030904050909080002000000050001,P3Y8M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1177/019394599802000501
0200100040636193701030605630208050037020000023700000409083733-0200101070736010503090404090209080001080000020003,P4Y2M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.1177/153944929801800203
0200100040636193701030605630208050037020000023700000409083733-02003010009360101000308010209050009010006080005,P7Y5M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.3109/11038129509106805
0200100040636193701030605630208050037020000023700000409083733-0200309020836000009086309010304630109090700010001630101,P5Y,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.3928/0098-9134-19970101-11
0200100040636193701030605630208050037020000023700000409083733-0200309020836000009086309010304630109090701000001630102,P4Y8M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.3928/0098-9134-19971001-12
0200100040636193701030605630208050037020000023700000409083733-02007030206360000000363040801096301010363010263090401,P11Y5M,10.1046/j.1365-2850.2002.00498.x,2002-06,no,no,10.7326/0003-4819-113-12-941
02001010806362801020901026300010563000006096307-02001000001361910221037020001043704050703,P10M2D,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1001/jama.2014.4573
02001010806362801020901026300010563000006096307-020010000023616252837060802,P13Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1002/gps.682
02001010806362801020901026300010563000006096307-020010000073611150003030204060807,P7Y9M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1007/bf03324687
02001010806362801020901026300010563000006096307-0200100010636193710291724271012283027370200000937000237000800,P5Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.athoracsur.2009.02.080
02001010806362801020901026300010563000006096307-0200100010636193710291724271012283027370200010137000737000006,P3Y,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.athoracsur.2011.07.006
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000537000337000009,P9Y3M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2005.03.009
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000537000437000006,P9Y6M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2005.04.006
02001010806362801020901026300010563000006096307-020010001063619371419122330272814370200000637000937000003,P7Y6M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ejcnurse.2006.09.003
02001010806362801020901026300010563000006096307-02001000106361937161423172428252528341217370200010137000737000009,P3Y4M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.genhosppsych.2011.07.009
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200000837000237000001,P6Y4M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2008.02.001
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200000937000937000009,P5Y2M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2009.09.009
02001010806362801020901026300010563000006096307-020010001063619371819233027282930370200010337010137000005,P8M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.ijnurstu.2013.11.005
02001010806362801020901026300010563000006096307-0200100010636193723141329370200000337010037000001,P11Y1M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/j.nedt.2003.10.001
02001010806362801020901026300010563000006096307-0200100010636280000020063070408095800025900000100096308,P11Y10M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0020-7489(02)00109-8
02001010806362801020901026300010563000006096307-0200100010636280009060463030309075809065908000909046303,P18Y11M,10.1186/s12912-015-0069-7,2015-03-30,no,no,10.1016/s0964-3397(96)80994-3
